tanggal,link,TeksBerita,Output
6/6/2023 22:39,https://news.detik.com/berita/d-6758894/pekerja-tewas-terjatuh-dari-lantai-7-di-jakpus-2-orang-lain-luka,"Pekerja Tewas Terjatuh dari Lantai 7 di Jakpus, 2 Orang Lain Luka
Seorang pekerja bangunan berinisial HA (30) tewas setelah terjatuh dari lantai 7 sebuah bangunan di Gondangdia, Jakarta Pusat (Jakpus). Korban terjatuh diduga karena tali gondola putus.""(Penyebab jatuh) Masih didalami. Kalau terlihat di TKP memang terlihat ada gondola yang talinya putus itu saat ini masih kita lakukan pendalaman,"" kata Kapolres Metro Jakarta Pusat Kombes Komarudin kepada wartawan, Selasa (6/6/2023).Dari kejadian tersebut, ada dua korban lain berinisial P dan S. Korban terjatuh pada Senin (5/6), sekitar pukul 17.30 .

""Atas kejadian itu, ada pula dua korban lainnya berinisial P dan S yang mengalami luka,"" ungkapnya.Komarudin mengatakan semua korban telah mengenakan tali pengamanan. Polisi sendiri masih mendalami penyebab pasti dari kejadian tersebut.""Pakai (pengaman). Kita sudah cek semuanya. Pengaman digunakan. Termasuk korban yang meninggal dunia juga masih ada, tali jiwa namanya,"" tuturnya.""Ini masih kita dalami. Apakah kabel slingnya putus ataukah penyangganya patah. Oleh karenanya kami mendatangkan tim labfor, Puslabfor Mabes Polri untuk mengecek dugaan sampai gondolanya itu jatuh,"" tambahnya.Dia mengatakan saat itu HA sedang bekerja memasang pelapis bangunan di gedung tersebut. HA mengalami luka berat di kepala dan sejumlah luka di tubuhnya akibat terjatuh.""(Penyebab jatuh) Masih didalami. Iya sedang kerja pasang pelapis bangunan,"" ucapnya.",Terjatuh
11/3/2020 20:07,https://news.detik.com/berita-jawa-timur/d-5240290/polisi-selidiki-penyebab-lift-anjlok-dalam-proyek-pembangunan-di-surabaya,"Polisi Selidiki Penyebab Lift Anjlok dalam Proyek Pembangunan di Surabaya
Salah seorang kuli bangunan, Wawan, warga Surabaya mengatakan, peristiwa lift anjlok terjadi sekitar pukul 15.55 . Ia melihat langsung kejadian tersebut.""Tadi saya turun duluan. Tadi (melihat) langsung anjlok ke bawah. Tadi ada enam orang di dalam lift,"" kata Wawan kepada wartawan di lokasi kejadian, Selasa (3/11/2020).""Iya saya lihat langsung kejadiannya. Waktu jatuh dan mental ke atas terdengar suara teriakan. Tadi itu AS (lift) patah waktu mau turun. Di dalam ada enam orang. Ada yang berdiri dan ada yang duduk,"" ungkap Wawan.Ia menambahkan, korban ada yang mengalami patah kaki dan tangan. ""Korbannya Pak Royid, Nanang, Agus, Supri. Yang dua belum tahu namanya karena baru masuk,"" paparnya.Wawan juga menyampaikan, gedung di Jalan Kartini No 35 itu tengah dibangun untuk dijadikan showroom mobil. Enam kuli bangunan yang menjadi korban lift anjlok sudah dievakuasi oleh petugas medis. Mereka sudah mendapatkan perawatan awal dan dibawa ke RSU dr Soetomo dan RS Haji.Sedangkan petugas Inafis beserta polisi lainnya masih berada di lokasi. Mereka tengah menggali data untuk mengungkap penyebab anjloknya lift proyek tersebut.        
		
        (sun/bdh)",Terjatuh
9/17/2020 11:30,https://news.detik.com/berita-jawa-timur/d-5176598/kecelakaan-kerja-tewaskan-4-orang-polisi-panggil-yayasan-unisma-kontraktor,"Kecelakaan Kerja Tewaskan 4 Orang, Polisi Panggil Yayasan Unisma-Kontraktor
Polisi memanggil yayasan dan kontraktor terkait kecelakaan kerja di proyek RSI Unisma. Sebab, peristiwa lift jatuh itu menewaskan 4 pekerja.""Kami akan memanggil pihak yayasan Unisma maupun kontraktor. Kemungkinan dalam minggu ini,"" ujar Kasat Reskrim Polresta Malang Kota AKP Azi Pratasa Guspitu, Kamis (17/9/2020).Satreskrim Polresta Malang Kota telah mengantongi identitas pelaksana proyek, yaitu PT Dwi Ponggo Seto, yang disebut beralamat di Ponorogo. ""Surat panggilan sudah kami kirimkan,"" imbuh Azi.Menurut Azi, pemanggilan pihak yayasan untuk menggali keterangan seputar proyek yang dikerjakan. Mulai dari perencanaan, proses lelang, hingga sampai penunjukan pemenang tender.""Kan yayasan yang melelang, proses tendernya bagaimana. Itu yang tengah kita dalami,"" tuturnya.Satreskrim Polresta Malang Kota juga menunggu hasil olah TKP oleh Tim Labfor, yang sudah digelar satu hari setelah kejadian. Dalam olah TKP, Labfor juga mengamankan beberapa barang bukti untuk diselidiki.",Terjatuh
13 Agu 2020 04:17,https://news.detik.com/berita/d-5131024/cerita-saksi-soal-tewasnya-4-pekerja-tower-saat-bongkar-sutet-di-sumedang,"Cerita Saksi soal Tewasnya 4 Pekerja Tower Saat Bongkar SUTET di Sumedang
Tiang penyangga SUTET listrik di Kabupaten Sumedang, Jawa Barat roboh saat sedang dibongkar yang mengakibatkan empat pekerja tewas. Salah seorang warga yang berjaga di proyek pengerjaan SUTET, Deni Abdullah (38), mengatakan keempat bekerja itu jatuh saat sedang membongkar SUTET.""Keempatnya lagi kerja di atas (tower SUTET), nggak tau seling yang di bawah copot yang di sawah. Selingnya nggak kuat nahan, soalnya tanahnya labil, jadi nggak kuat,"" kata Deni saat ditemui di lokasi, Rabu (13/8/2020) malam.Menurut Deni, keempat pekerja tersebut awalnya sedang berada di atas tower karena mereka sedang mengerjakan tower tahap kedua. Lalu saat sedang bekerja, keempat orang itu terjatuh bersama tower SUTET hingga akhirnya tewas.



""Yang di atas (tower SUTET) empat orang, tewas semuanya jatuh sama towernya, yang dua orang tewas di lokasi, yang dua orang lagi meninggal di Puskesmas Tanjungsari,"" ucap Deny.Diberitakan sebelumnya, sebuah tiang penyangga SUTET listrik di Kecamatan Tanjung Sari, Kabupaten Sumedang, Jawa Barat roboh saat tengah dibongkar. Akibatnya, empat pekerja tower tewas.Peristiwa nahas itu terjadi pada Rabu (12/8) sore di Dusun Pasirangin, Desa Margaluyu, Kecamatan Tanjungsari, Kabupaten Sumedang. Menurut informasi, keempat pekerja itu terjatuh dari ketinggian kurang lebih 30 meter.Korban berinisial WN (42), A (26), Y (40), dan MS (60). WN dan A meninggal dunia di lokasi kejadian.Kapolsek Tanjungsari Kompol Deden membenarkan telah terjadinya kecelakaan yang merenggut nyawa empat pekerja. Deden menyebut keempat korban itu warga Desa Cisitu, Kecamatan Malangbong, Kabupaten Garut.""Iya betul, kejadiannya empat orang meninggal dunia, Itu sutet listrik, berdasarkan laporan warga kejadian sekitar pukul 17.30 . Sekarang semuanya ada di Puskesmas Tanjungsari,"" kata Deden saat dihubungi.",Terjatuh
6/2/2020 22:50,https://news.detik.com/berita/d-5038102/1-tewas-4-luka-luka-saat-perbaiki-jembatan-bekas-banjir-bandang-di-sumbar,"1 Tewas-4 Luka-luka Saat Perbaiki Jembatan Bekas Banjir Bandang di Sumbar
Satu orang tewas dan sejumlah pekerja lainnya terluka akibat ambruknya sisa jembatan yang akan diperbaiki di Sikabu Lubuk Alung, Kabupaten Padang Pariaman. Tiga tahun lalu, jembatan itu ambruk akibat banjir bandang dan akan diperbaiki serta diganti dengan jembatan baru.Kepala Badan Pelaksana BPBD Kabupaten Padang Pariaman Budi Mulya mengatakan peristiwa ini terjadi saat para pekerja sedang berusaha membongkar sisa jembatan. ""Ada lima pekerja. Satu orang meninggal karena terhimpit besi jembatan,"" jelas Budi Mulya kepada wartawan, Selasa (2/6/2020) sore.Budi menjelaskan kelima pekerja itu merupakan bagian dari pekerja perusahaan kontraktor yang memenangkan tender perbaikan jembatan. Mereka berhasil dievakuasi oleh petugas dan warga setempat. Proses evakuasi sempat mengalami kendala karena korban korban terakhir yang meninggal dunia, jatuh ke dalam sungai dan terimpit besi jembatan.



""Itu adalah jembatan sementara dan ambruk ketika pekerja hendak membongkar jembatan itu,"" jelas Budi.""Seluruh korban, termasuk yang meninggal dunia sudah dibawa ke RSUD Padang Pariaman,"" katanya lagi.Kecelakaan kerja tersebut kini dalam penyelidikan aparat berwajib. Penyebab terjadinya peristiwa itu sedang ditelusuri.",Terjatuh
4/16/2020 17:33,https://news.detik.com/berita-jawa-timur/d-4979809/apd-3-pekerja-pabrik-bioetanol-mojokerto-yang-tewas-ditemukan-di-kolam-pengendapan,"APD 3 Pekerja Pabrik Bioetanol Mojokerto yang Tewas Ditemukan di Kolam Pengendapan
Kasat Reskrim Polres Mojokerto Kota AKP Sodik Efendi mengatakan, pihaknya telah memeriksa sejumlah saksi terkait kecelakaan kerja ini. Mulai dari rekan kerja para korban hingga manajemen pabrik bioetanol tersebut.""Manajemen Keselamatan dan Kesehatan Kerja (MK3) memang ada di sana (PT Enero). Hasil penyelidikan sementara itu diterapkan,"" kata Sodik saat dikonfirmasi detikcom, Kamis (16/4/2020).Berdasarkan keterangan dua korban selamat, lanjut Sodik, tiga korban tewas memakai APD saat membersihkan lumpur campuran spentwash dan yeast (ragi) di dalam kolam pengendapan. Terdiri dari masker respirator, helm dan sepatu bot.""Yang jelas hasil lidik kami, APD korban ditemukan di TKP. Kondisinya tercebur di dalam kolam pengendapan,"" terangnya.Namun Sodik menegaskan, itu baru hasil sementara penyelidikan. Saat ini pihaknya terus mengumpulkan alat bukti untuk mengungkap ada atau tidaknya unsur kelalaian dalam kecelakaan kerja tersebut.""Kami belum berani menyimpulkan ada atau tidaknya unsur kelalaian dalam penyelidikan awal ini,"" tegasnya.Ia menjelaskan, tiga pekerja tewas akibat tenggelam di lumpur yang ada di kolam pengendapan. Hal itu berdasarkan hasil autopsi jenazah ketiga korban yang dilakukan Tim Kedokteran Forensik di RS Bhayangkara, Surabaya, Minggu (12/4).""Ketiga korban terjatuh ke dalam lumpur, mungkin dia menyedot lumpur dan mati. Karena di saluran pencernaannya ditemukan lumpur,"" jelas Sodik.Disinggung terkait penyebab tumbangnya ketiga korban, kata Sodik, diduga karena keracunan gas. Namun, pihaknya masih menunggu hasil uji laboratorium yang dilakukan Labfor Polda dan Dinas Lingkungan Hidup (DLH) Jatim. Kedua instansi tersebut telah mengambil sampel gas dan lumpur dari tempat kecelakaan kerja.""Kami masih belum mendapatkan hasilnya,"" cetusnya.Kecelakaan kerja terjadi di pabrik bioetanol PT Enero, anak perusahaan BUMN PTPN X pada Sabtu (11/4) pagi. Saat kejadian, terdapat 5 pekerja di kolam pengendapan berisi lumpur campuran spentwash dan yeast.Salah seorang pekerja merupakan Kepala Satuan Keamanan PT Mochamad Jainun (45), warga Desa Gempolkrep, Kecamatan Gedeg. Jainun hanya mendampingi 4 pekerja membersihkan kolam.Sekitar pukul 08.30 , 3 pekerja yang sedang membersihkan kolam pengendapan mendadak tumbang. Seorang pekerja lainnya Choirul Hidayat (28), warga Desa Gembongan, Kecamatan Gedeg berhasil selamat karena lari setelah mencium bau menyengat.Sementara Jainun jatuh setelah terkena semburan gas di lokasi. Saat itu dia akan membantu tiga korban yang diduga kuat keracunan gas. Dia dan Choirul berhasil selamat. Sedangkan 3 rekan kerjanya dinyatakan tewas saat dibawa ke RSUD RA Basuni, Gedeg, Mojokerto.Tiga korban tewas yakni Beni Trio Sucahyo (30), warga Desa Gembongan, Kecamatan Gedeg, serta Bayu Adi Nugraha (30) dan Rudik (45), keduanya warga Desa Gempolkrep, Kecamatan Gedeg.        
		
        (fat/fat)",Terjatuh
4/14/2020 16:15,https://news.detik.com/berita-jawa-timur/d-4976719/ini-penyebab-tewasnya-3-pekerja-pabrik-bioetanol-di-mojokerto,"Ini Penyebab Tewasnya 3 Pekerja Pabrik Bioetanol di Mojokerto
Kasat Reskrim Polres Mojokerto Kota AKP Sodik Efendi mengatakan, ketiga korban tewas karena tenggelam di dalam lumpur campuran spentwash dan yeast (ragi). Lumpur tersebut berada di kolam pengendapan yang akan dibersihkan oleh para korban.Hal itu berdasarkan keterangan sementara dari tim kedokteran Forensik yang mengautopsi jenazah ketiga korban di RS Bhayangkara, Surabaya, Minggu (12/4). Menurut dia, kolam pengendapan di PT Enero mempunyai luas sekitar 4x10 meter persegi. Kedalaman lumpur di dasar kolam sekitar 60-80 cm.""Untuk sementara hasil autopsi yang disampaikan secara lisan ke kami, ketiga korban meninggal karena tenggelam di dalam lumpur. Mereka menghirup gas di dalam kolam, lalu pingsan dan tenggelam di lumpur,"" kata Sodik saat dikonfirmasi detikcom, Selasa (14/4/2020).Tiga pekerja PT Enero yang tewas dalam kecelakaan kerja pada Sabtu (11/4) pagi yaitu Beni Trio Sucahyo (30), warga Desa Gembongan, Kecamatan Gedeg, serta Bayu Adi Nugraha (30) dan Rudik (45), keduanya warga Desa Gempolkrep, Kecamatan Gedeg.Penyelidikan kasus kecelakaan kerja di PT Enero ini, lanjut Sodik, juga melibatkan Tim Labfor Polda dan Dinas Lingkungan Hidup (DLH) Jatim. Menurut dia, tim telah mengambil sampel gas di dalam kolam pengendapan tempat ketiga pekerja pabrik bioetanol itu tewas.Sampel gas diambil di tiga titik di dalam kolam pengendapan menggunakan alat khusus. Hasil pemeriksaan laboratorium terhadap sampel gas oleh Tim Labfor akan dicocokkan dengan DLH Jatim.""Tujuannya untuk memeriksa kandungan gas di kolam yang dihirup para korban,"" terangnya.Kecelakaan kerja terjadi di pabrik bioetanol PT Enero pada Sabtu (11/4) pagi. Saat kejadian, terdapat 5 pekerja di kolam pengendapan berisi lumpur campuran spentwash dan yeast.Salah seorang pekerja merupakan Kepala Satuan Keamanan PT Mochamad Jainun (45), warga Desa Gempolkrep, Kecamatan Gedeg. Jainun hanya mendampingi 4 pekerja membersihkan kolam.Sekitar pukul 08.30 , 3 pekerja yang sedang membersihkan kolam pengendapan mendadak tumbang. Seorang pekerja lainnya Choirul Hidayat (28), warga Desa Gembongan, Kecamatan Gedeg berhasil selamat karena lari setelah mencium bau menyengat.Sementara Jainun jatuh setelah terkena semburan gas di lokasi. Saat itu dia akan membantu tiga korban yang diduga kuat keracunan gas. Dia dan Choirul berhasil selamat. Sedangkan 3 rekan kerjanya dinyatakan tewas saat dibawa ke RSUD RA Basuni, Gedeg, Mojokerto.        
		
        (fat/fat)",Terjatuh
4/12/2020 13:53,https://news.detik.com/berita-jawa-timur/d-4974123/3-pekerja-pabrik-bioetanol-mojokerto-tewas-saat-bersihkan-kolam-pengendapan,"3 Pekerja Pabrik Bioetanol Mojokerto Tewas Saat Bersihkan Kolam Pengendapan
Insiden tewasnya 3 pekerja pabrik bioetanol PT Energi Agro Nusantara (Enero) di Desa Gempolkrep, Kecamatan Gedeg, Mojokerto, mulai terkuak. Kecelakaan kerja itu terjadi saat para korban membersihkan kolam presettling atau kolam pengendapan.Keterangan perihal insiden yang merenggut nyawa 3 pekerja PT Enero salah satunya dari Kasat Reskrim Polres Mojokerto Kota AKP Sodik Efendi. Dia mengatakan, kecelakaan terjadi saat tiga pekerja yang tewas sedang membersihkan lumpur sisa etanol di dalam kolam pada Jumat (11/4) pagi.""Mereka (tiga pekerja yang tewas) turun ke tandon untuk membersihkannya dari sisa etanol. Salah satu pekerja mencium bau tidak enak, berusaha naik. Begitu naik, di tengah perjalanan dia terjatuh ke lumpur endapan etanol,"" kata kasat reskrim saat dikonfirmasi wartawan melalui sambungan telepon, Minggu (12/4/2020).Melihat rekannya terjatuh, lanjut Sodik, dua pekerja lainnya memberikan pertolongan. Nahas, kedua pekerja itu juga terpapar bau menyengat. Sehingga ketiga pekerja tumbang di kolam yang sama. Sayangnya dia tidak menjelaskan apa bau menyengat yang menyebabkan tumbangnya tiga pekerja pabrik bioetanol tersebut.""Setelah membantu, hal serupa yang dialami temannya. Akhirnya terjatuh juga ketiga orang itu karena bau menyengat. Jatuh di kolam lumpur itu, endapan etanol,"" terangnya.Sodik belum bisa memastikan adanya kemungkinan ketiga korban keracunan setelah menghirup zat tertentu di dalam kolam pengendapan. Karena proses penyelidikan saat ini sedang berjalan.Autopsi ketiga jenazah melibatkan tim kedokteran forensik. Sedangkan tim Labfor Polda Jatim memeriksa zat kimia di lokasi kecelakaan kerja PT Enero.""Kami belum bisa memastikan karena masih proses penyelidikan dan penyidikan. Sementara ada beberapa saksi yang sudah kami lakukan pemeriksaan. Labfor mengecek kandungan kimia di lokasi. Kedokteran forensik autopsi para korban,"" ungkapnya.",Terjatuh
9/20/2022 12:53,https://www.detik.com/jateng/berita/d-6301778/aksi-damkar-evakuasi-pekerja-terjepit-mesin-cetak-di-semarang,"Aksi Damkar Evakuasi Pekerja Terjepit Mesin Cetak di Semarang
Insiden kecelakaan kerja terjadi di sebuah percetakan di Jalan Sunan Kalijaga, Pedurungan, Kota Semarang, Selasa (20/9/2022). Seorang pekerja terjepit tangannya di sebuah mesin cetak.Petugas pemadam kebakaran mendapatkan laporan pukul 10.42 . Laporan itu menyebutkan ada warga yang tangan kanannya terjepit mesin cetak ketika proses produksi. Saat petugas damkar tiba di lokasi, pergelangan tangan kanan korban terjepit di antara dua rol cetak.""Laporan masuk jam 10.42 . Tangannya masuk ke rol, jadi sini (pergelangan) dan jarinya keluar di ujung satunya,"" kata Kasi Penyelamatan Damkar Kota Semarang, Listiyono di lokasi, Selasa (20/9/2022).



Tim Damkar pun berkoordinasi dengan teknisi mesin sebelum melakukan evakuasi. Kemudian, tim menggunakan alat pengungkit untuk melakukan evakuasi karena rol mesin itu tidak bisa dilepas.""Kita koordinasi dengan pihak perusahaan. Terutama dari teknisi karena yang tahu persis sistem kerjanya kan teknisi. Prosedur harus bagaimana kita ikuti,"" ujarnya.Proses evakuasi korban bernama Zaeni Dahlan (22) itu berlangsung sekitar satu jam. Karena ruangannya sempit, peralatan Damkar tidak bisa digunakan maksimal. Maka dengan menggunakan pengungkit, akhirnya tangan korban bisa dikeluarkan dari mesin.""Ada bagian alat yang harus dipotong karena tidak semua sekrup bisa dilepas. Sekitar satu jam tadi,"" jelas Listiyono.Setelah lepas dari mesin, korban langsung dibawa ke Ambulance Hebat yang sudah bersiaga. Di dalam mobil korban langsung ditangani oleh tim medis. Sekitar pukul 12.35  korban dilarikan ke RS Bhayangkara.""Korban saat kejadian kondisi sadar. Saat ini juga masih sadar,"" ujar Listiyono.",Terperangkap di dalam atau diantara benda-benda
9/4/2023 21:30,https://www.detik.com/bali/berita/d-6913417/imbas-lift-maut-kemenaker-cek-keselamatan-kerja-ayuterra-resort,"Imbas Lift Maut, Kemenaker Cek Keselamatan Kerja Ayuterra Resort
Tragedi lift putus yang merenggut nyawa lima karyawan Ayuterra Resort di Desa Kedewatan, Ubud, Gianyar, Bali, Jumat (4/9/2023), menjadi perhatian Kementerian Ketenagakerjaan (Kemenaker). Rombongan Kemenaker mendatangi lokasi kejadian, Senin siang (4/9/2023).Rombongan tim Kemenaker menaiki tiga mobil, didampingi oleh Dinas Tenaga Kerja (Disnaker) Kabupaten Gianyar.Salah satu anggota tim Keselamatan dan Kesehatan Kerja (K3) Kemenaker, Dinar, mengatakan timnya datang untuk menggali informasi seputar kejadian nahas itu. Mereka juga mengklarifikasi pemilik dan manajemen Ayuterra Resort terkait dengan keselamatan kerja.



""Karena ini tentang lift yang jatuh mengakibatkan semua penumpangnya meninggal ya jadi kami selidiki apakah sebelumnya ada uji atau tidak untuk memastikan keamanan dan keselamatan penumpangnya. Baik proses instalasinya, hingga penerapan penggunaannya seperti apa,"" beber Dinar.Tim Kemenaker juga berupaya mengklarifikasi terkait foto yang viral beredar di media sosial (medsos). Foto tersebut membandingkan kondisi lift pada 2018 dan pada Mei 2023. Foto itu diunggah oleh salah satu tamu resor.""Masih banyak sekali prosesnya, kami bekerja sama dengan kepolisian juga akan hal ini, semua harus dilalui prosesnya karena ini sangat teknis. Perlu saksi ahli yang membidanginya,"" urai Dinar.Dia menegaskan tim K3 Kemenaker tidak tinggal diam atas kasus ini. ""Ini untuk keselamatan ke depannya, termasuk juga perlindungan kerja kepada semua karyawan,"" imbuh Dinar.Sementara, Kabid Pelayanan BPJS Ketenagakerjaan Kabupaten Gianyar Ratih Edyawati mengatakan petugas langsung mengecek keikutsertaan perusahaan setelah peristiwa lift maut terjadi.""Sejak 2018 perusahaan ini sudah ikut BPJS Ketenagakerjaan termasuk lima karyawan yang mengalami kecelakaan meninggal, semua kami berikan santunan sesuai aturannya,"" jelasnya.",Terjatuh
