Class,Word,TF-IDF Value,Prior,Likelihood,Posterior
Terjatuh,jatuh,0.999,0.12384259259259259,0.0001268905870528037,1.5698744816939056e-05
Terjatuh,korban,0.732085244916027,0.12384259259259259,0.0007455988694992519,6.759847987911177e-05
Terjatuh,pekerja,0.6280923732641769,0.12384259259259259,0.00018621699789978,1.448481244024459e-05
Terjatuh,kerja,0.6178365810763022,0.12384259259259259,0.00016332296191976553,1.2496572156484543e-05
Terjatuh,lift,0.5383977788116353,0.12384259259259259,6.288082157238885e-05,4.192677927191511e-06
Terjatuh,tewas,0.4533008925809295,0.12384259259259259,0.0003953359513533891,2.219335293878122e-05
Terjatuh,proyek,0.3639011587003552,0.12384259259259259,0.00012548928697448641,5.655358300915716e-06
Terjatuh,lantai,0.3488082855085691,0.12384259259259259,0.00012577993319895487,5.433356325236747e-06
Terjatuh,celaka,0.33688109909804925,0.12384259259259259,0.0001109602475770107,4.629286906380841e-06
Terjatuh,orang,0.31951620394508684,0.12384259259259259,0.0002386941297862567,9.44505870497804e-06
Terperangkap di dalam atau diantara benda-benda,korban,0.999,0.13194444444444453,0.00014926160427584101,1.9674545213609308e-05
Terperangkap di dalam atau diantara benda-benda,mesin,0.9389835693489974,0.13194444444444453,6.241415821144483e-05,7.732718833684827e-06
Terperangkap di dalam atau diantara benda-benda,jepit,0.7968139155003462,0.13194444444444453,6.241415821144483e-05,6.561923096911596e-06
Terperangkap di dalam atau diantara benda-benda,longsor,0.5786253582290983,0.13194444444444453,6.241415821144483e-05,4.765096377914119e-06
Terperangkap di dalam atau diantara benda-benda,evakuasi,0.5366937781469493,0.13194444444444453,7.972285440924722e-05,5.645475269538916e-06
Terperangkap di dalam atau diantara benda-benda,pekerja,0.5325684723904734,0.13194444444444453,7.494303964974257e-05,5.2662062688102784e-06
Terperangkap di dalam atau diantara benda-benda,giling,0.46123069824600055,0.13194444444444453,6.241415821144483e-05,3.7983277060675014e-06
Terperangkap di dalam atau diantara benda-benda,tewas,0.43887023336503284,0.13194444444444453,8.641622524315337e-05,5.004060207227582e-06
Terperangkap di dalam atau diantara benda-benda,lift,0.4361900699469765,0.13194444444444453,6.241415821144483e-05,3.592113088074334e-06
Terperangkap di dalam atau diantara benda-benda,kerja,0.36310228750133117,0.13194444444444453,0.00015847062715992617,7.592221508661503e-06
Tertimpa Benda-Benda Jatuh,timpa,0.999,0.12384259259259259,8.076267779037748e-05,9.991857542878263e-06
Tertimpa Benda-Benda Jatuh,bangunan,0.6632255914897915,0.12384259259259259,8.299318072294283e-05,6.816692762825744e-06
Tertimpa Benda-Benda Jatuh,roboh,0.6133028271158415,0.12384259259259259,8.581754531608472e-05,6.518101062452704e-06
Tertimpa Benda-Benda Jatuh,longsor,0.6119230658817628,0.12384259259259259,6.896580954506534e-05,5.226376561467884e-06
Tertimpa Benda-Benda Jatuh,pekerja,0.6112389422731743,0.12384259259259259,0.00022213205132078616,1.6814822141306475e-05
Tertimpa Benda-Benda Jatuh,korban,0.5946575023177694,0.12384259259259259,0.0002824219276843362,2.079865976674706e-05
Tertimpa Benda-Benda Jatuh,tembok,0.5686588465650887,0.12384259259259259,7.889528044061566e-05,5.556135893174188e-06
Tertimpa Benda-Benda Jatuh,proyek,0.5534870749272519,0.12384259259259259,0.00016159399170704667,1.1076504490909084e-05
Tertimpa Benda-Benda Jatuh,runtuh,0.46617199948672255,0.12384259259259259,6.908817256107704e-05,3.98859485552531e-06
Tertimpa Benda-Benda Jatuh,orang,0.4405931181881351,0.12384259259259259,0.0003278539527847183,1.788908669484553e-05
Kontak dengan Arus Listrik,listrik,0.999,0.1226851851851852,0.00027687595921515744,3.393460975130774e-05
